id_pedido,id_cliente,data_pedido,valor_total,id_produto_associado,nome_cliente,email_cliente,pais,id_produto,produto_associado_nome,produto_associado_categoria,produto_associado_preco
97,1357,2023-07-15,522.74,245,Cliente 1357,cliente1357@exemplo.com,Espanha,245,Produto 245,Artigos para Casa,353.59
98,2905,2024-08-01,2235.11,688,Cliente 2905,cliente2905@exemplo.com,Chile,688,Produto 688,Roupas,763.63
99,3513,2023-09-03,556.35,674,Cliente 3513,cliente3513@exemplo.com,Colômbia,674,Produto 674,Alimentos,725.42
100,326,2023-08-16,686.93,812,Cliente 326,cliente326@exemplo.com,Portugal,812,Produto 812,Brinquedos,574.57
101,4809,2024-10-17,719.04,813,Cliente 4809,cliente4809@exemplo.com,Espanha,813,Produto 813,Brinquedos,170.23
102,4622,2023-03-30,744.89,514,Cliente 4622,cliente4622@exemplo.com,Colômbia,514,Produto 514,Roupas,345.41
103,3039,2024-02-10,3709.82,266,Cliente 3039,cliente3039@exemplo.com,México,266,Produto 266,Beleza,68.74
104,3407,2024-01-07,4828.06,188,Cliente 3407,cliente3407@exemplo.com,Colômbia,188,Produto 188,Beleza,589.5
105,461,2023-06-16,4612.67,427,Cliente 461,cliente461@exemplo.com,Canadá,427,Produto 427,Livros,6.18
106,849,2023-05-23,97.11,414,Cliente 849,cliente849@exemplo.com,Canadá,414,Produto 414,Alimentos,284.63
107,4306,2024-12-08,1602.14,868,Cliente 4306,cliente4306@exemplo.com,México,868,Produto 868,Eletrônicos,464.65
108,3779,2023-11-15,1071.31,459,Cliente 3779,cliente3779@exemplo.com,Portugal,459,Produto 459,Roupas,984.37
109,597,2023-05-19,4742.19,431,Cliente 597,cliente597@exemplo.com,Colômbia,431,Produto 431,Brinquedos,720.46
110,1965,2023-03-08,1445.87,719,Cliente 1965,cliente1965@exemplo.com,Espanha,719,Produto 719,Roupas,72.25
111,3760,2024-06-03,2760.42,357,Cliente 3760,cliente3760@exemplo.com,Espanha,357,Produto 357,Livros,382.86
112,3219,2023-02-08,3553.28,819,Cliente 3219,cliente3219@exemplo.com,Chile,819,Produto 819,Beleza,760.6
113,3291,2023-02-04,860.09,916,Cliente 3291,cliente3291@exemplo.com,Chile,916,Produto 916,Alimentos,815.82
114,4966,2023-12-20,648.14,207,Cliente 4966,cliente4966@exemplo.com,Canadá,207,Produto 207,Beleza,979.37
115,1594,2023-05-28,2064.78,286,Cliente 1594,cliente1594@exemplo.com,EUA,286,Produto 286,Roupas,573.71
116,2123,2023-12-22,4693.25,534,Cliente 2123,cliente2123@exemplo.com,EUA,534,Produto 534,Brinquedos,212.9
117,4176,2023-07-12,4594.98,737,Cliente 4176,cliente4176@exemplo.com,EUA,737,Produto 737,Livros,746.36
118,489,2024-10-19,2473.14,77,Cliente 489,cliente489@exemplo.com,EUA,77,Produto 77,Brinquedos,55.65
119,941,2024-07-09,3810.69,920,Cliente 941,cliente941@exemplo.com,Canadá,920,Produto 920,Artigos para Casa,335.68
120,1829,2023-05-07,2677.58,987,Cliente 1829,cliente1829@exemplo.com,EUA,987,Produto 987,Brinquedos,779.17
121,1354,2023-01-15,2058.02,532,Cliente 1354,cliente1354@exemplo.com,Portugal,532,Produto 532,Eletrônicos,811.66
122,3097,2023-12-22,4732.44,140,Cliente 3097,cliente3097@exemplo.com,Peru,140,Produto 140,Esportes,831.28
123,869,2024-10-18,1149.59,183,Cliente 869,cliente869@exemplo.com,Chile,183,Produto 183,Alimentos,94.34
124,1698,2023-12-06,4974.54,247,Cliente 1698,cliente1698@exemplo.com,Brasil,247,Produto 247,Esportes,306.45
125,1460,2024-05-08,3795.46,522,Cliente 1460,cliente1460@exemplo.com,Portugal,522,Produto 522,Brinquedos,624.54
126,2610,2024-07-07,1518.14,771,Cliente 2610,cliente2610@exemplo.com,Colômbia,771,Produto 771,Brinquedos,297.06
127,4060,2023-08-07,13.82,822,Cliente 4060,cliente4060@exemplo.com,Espanha,822,Produto 822,Livros,751.93
128,4277,2023-12-18,3927.53,624,Cliente 4277,cliente4277@exemplo.com,Colômbia,624,Produto 624,Esportes,242.76
129,1431,2023-01-29,3217.96,778,Cliente 1431,cliente1431@exemplo.com,Espanha,778,Produto 778,Livros,629.43
130,352,2023-08-04,1392.99,183,Cliente 352,cliente352@exemplo.com,Peru,183,Produto 183,Alimentos,94.34
131,3437,2024-11-03,1543.78,837,Cliente 3437,cliente3437@exemplo.com,Chile,837,Produto 837,Brinquedos,140.03
132,4015,2024-07-09,3263.6,606,Cliente 4015,cliente4015@exemplo.com,Espanha,606,Produto 606,Artigos para Casa,541.59
133,164,2023-04-09,1089.93,758,Cliente 164,cliente164@exemplo.com,Argentina,758,Produto 758,Roupas,978.53
134,4908,2023-11-10,4967.86,268,Cliente 4908,cliente4908@exemplo.com,Espanha,268,Produto 268,Brinquedos,831.65
135,4713,2024-11-17,1210.34,562,Cliente 4713,cliente4713@exemplo.com,Espanha,562,Produto 562,Artigos para Casa,613.98
136,1096,2024-09-24,2341.04,327,Cliente 1096,cliente1096@exemplo.com,Brasil,327,Produto 327,Roupas,146.01
137,303,2023-04-11,535.43,850,Cliente 303,cliente303@exemplo.com,Espanha,850,Produto 850,Eletrônicos,502.33
138,2710,2024-03-04,4692.55,499,Cliente 2710,cliente2710@exemplo.com,Argentina,499,Produto 499,Esportes,858.7
139,3194,2023-03-07,3702.55,986,Cliente 3194,cliente3194@exemplo.com,Argentina,986,Produto 986,Livros,283.55
140,2558,2023-02-13,4168.25,122,Cliente 2558,cliente2558@exemplo.com,Argentina,122,Produto 122,Roupas,692.79
141,4663,2023-10-26,1672.71,255,Cliente 4663,cliente4663@exemplo.com,Chile,255,Produto 255,Artigos para Casa,446.55
142,213,2024-11-27,4534.74,512,Cliente 213,cliente213@exemplo.com,México,512,Produto 512,Livros,214.09
143,3391,2023-12-19,366.14,459,Cliente 3391,cliente3391@exemplo.com,Portugal,459,Produto 459,Roupas,984.37
144,4246,2023-03-07,4843.79,86,Cliente 4246,cliente4246@exemplo.com,México,86,Produto 86,Beleza,619.76
145,4470,2023-07-24,1229.57,805,Cliente 4470,cliente4470@exemplo.com,México,805,Produto 805,Livros,490.29
146,1769,2023-11-30,4588.75,903,Cliente 1769,cliente1769@exemplo.com,Peru,903,Produto 903,Livros,727.08
147,4948,2023-09-23,1014.55,64,Cliente 4948,cliente4948@exemplo.com,Espanha,64,Produto 64,Artigos para Casa,579.98
148,3780,2023-08-23,3312.09,695,Cliente 3780,cliente3780@exemplo.com,Peru,695,Produto 695,Livros,403.47
149,2198,2023-11-28,2853.55,131,Cliente 2198,cliente2198@exemplo.com,Colômbia,131,Produto 131,Beleza,579.8
150,2257,2023-06-09,4069.4,427,Cliente 2257,cliente2257@exemplo.com,Peru,427,Produto 427,Livros,6.18
151,88,2023-06-21,4699.43,859,Cliente 88,cliente88@exemplo.com,Portugal,859,Produto 859,Esportes,437.22
152,3137,2024-07-21,4556.32,30,Cliente 3137,cliente3137@exemplo.com,Brasil,30,Produto 30,Roupas,448.07
153,3126,2023-06-17,1882.32,118,Cliente 3126,cliente3126@exemplo.com,Peru,118,Produto 118,Roupas,114.07
154,3220,2024-02-26,2564.07,557,Cliente 3220,cliente3220@exemplo.com,Colômbia,557,Produto 557,Eletrônicos,394.56
155,975,2024-01-16,3177.36,473,Cliente 975,cliente975@exemplo.com,Chile,473,Produto 473,Roupas,973.4
156,4168,2023-08-09,2095.45,327,Cliente 4168,cliente4168@exemplo.com,México,327,Produto 327,Roupas,146.01
157,3895,2023-05-15,4117.94,448,Cliente 3895,cliente3895@exemplo.com,EUA,448,Produto 448,Beleza,47.95
158,452,2023-12-26,72.92,565,Cliente 452,cliente452@exemplo.com,Argentina,565,Produto 565,Beleza,134.98
159,2399,2023-08-11,1339.46,562,Cliente 2399,cliente2399@exemplo.com,Portugal,562,Produto 562,Artigos para Casa,613.98
160,802,2023-06-11,2096.26,899,Cliente 802,cliente802@exemplo.com,Portugal,899,Produto 899,Artigos para Casa,616.99
161,3767,2023-05-14,1112.84,406,Cliente 3767,cliente3767@exemplo.com,Espanha,406,Produto 406,Artigos para Casa,202.72
162,4354,2023-07-11,3321.3,915,Cliente 4354,cliente4354@exemplo.com,Argentina,915,Produto 915,Livros,946.54
163,1760,2023-05-21,3496.03,698,Cliente 1760,cliente1760@exemplo.com,EUA,698,Produto 698,Livros,376.13
164,1413,2024-11-30,715.59,636,Cliente 1413,cliente1413@exemplo.com,Brasil,636,Produto 636,Artigos para Casa,772.39
165,2157,2023-02-20,3982.5,831,Cliente 2157,cliente2157@exemplo.com,Peru,831,Produto 831,Livros,591.11
166,2693,2023-02-25,2973.36,925,Cliente 2693,cliente2693@exemplo.com,México,925,Produto 925,Brinquedos,40.32
167,1893,2023-06-05,4413.33,216,Cliente 1893,cliente1893@exemplo.com,México,216,Produto 216,Livros,731.28
168,2282,2023-07-20,3220.04,976,Cliente 2282,cliente2282@exemplo.com,Portugal,976,Produto 976,Alimentos,637.97
169,2780,2023-07-14,2540.34,165,Cliente 2780,cliente2780@exemplo.com,Brasil,165,Produto 165,Beleza,337.47
170,4887,2024-12-10,248.4,233,Cliente 4887,cliente4887@exemplo.com,México,233,Produto 233,Roupas,801.74
171,1189,2024-04-26,4688.41,671,Cliente 1189,cliente1189@exemplo.com,Espanha,671,Produto 671,Beleza,557.37
172,870,2023-11-24,268.64,452,Cliente 870,cliente870@exemplo.com,Chile,452,Produto 452,Alimentos,898.81
173,4323,2024-04-07,3076.27,228,Cliente 4323,cliente4323@exemplo.com,México,228,Produto 228,Brinquedos,825.14
174,4136,2023-04-23,287.35,38,Cliente 4136,cliente4136@exemplo.com,EUA,38,Produto 38,Brinquedos,418.02
175,2966,2023-07-25,4708.62,150,Cliente 2966,cliente2966@exemplo.com,Colômbia,150,Produto 150,Beleza,271.86
176,1174,2024-01-05,3423.24,180,Cliente 1174,cliente1174@exemplo.com,México,180,Produto 180,Roupas,300.28
177,2065,2023-12-20,2254.98,577,Cliente 2065,cliente2065@exemplo.com,Argentina,577,Produto 577,Esportes,867.05
178,4032,2024-03-02,1446.35,483,Cliente 4032,cliente4032@exemplo.com,Canadá,483,Produto 483,Roupas,293.71
179,4564,2023-07-28,1369.66,906,Cliente 4564,cliente4564@exemplo.com,Colômbia,906,Produto 906,Brinquedos,909.41
180,621,2023-08-28,4382.25,104,Cliente 621,cliente621@exemplo.com,Portugal,104,Produto 104,Brinquedos,935.57
181,729,2024-09-12,2029.68,575,Cliente 729,cliente729@exemplo.com,EUA,575,Produto 575,Roupas,997.76
182,3547,2023-01-06,687.38,66,Cliente 3547,cliente3547@exemplo.com,Portugal,66,Produto 66,Livros,916.9
183,4133,2023-06-28,878.36,163,Cliente 4133,cliente4133@exemplo.com,Colômbia,163,Produto 163,Esportes,803.75
184,2221,2023-07-18,202.2,804,Cliente 2221,cliente2221@exemplo.com,Colômbia,804,Produto 804,Livros,96.22
185,1952,2023-07-08,3042.63,672,Cliente 1952,cliente1952@exemplo.com,Chile,672,Produto 672,Brinquedos,395.64
186,1848,2024-01-03,3859.17,356,Cliente 1848,cliente1848@exemplo.com,EUA,356,Produto 356,Roupas,357.58
187,4008,2023-07-10,1535.94,626,Cliente 4008,cliente4008@exemplo.com,EUA,626,Produto 626,Brinquedos,896.48
188,3004,2023-07-11,3419.64,748,Cliente 3004,cliente3004@exemplo.com,Colômbia,748,Produto 748,Esportes,796.95
189,1549,2023-08-03,4664.39,784,Cliente 1549,cliente1549@exemplo.com,Argentina,784,Produto 784,Brinquedos,221.77
190,2625,2024-12-22,1210.27,676,Cliente 2625,cliente2625@exemplo.com,Chile,676,Produto 676,Livros,493.43
191,2783,2024-01-13,1439.54,451,Cliente 2783,cliente2783@exemplo.com,Brasil,451,Produto 451,Alimentos,497.11
192,1395,2023-03-01,1023.03,57,Cliente 1395,cliente1395@exemplo.com,Brasil,57,Produto 57,Esportes,935.2
193,36,2023-08-17,818.72,176,Cliente 36,cliente36@exemplo.com,EUA,176,Produto 176,Beleza,844.09
194,3425,2024-08-07,1675.8,393,Cliente 3425,cliente3425@exemplo.com,Portugal,393,Produto 393,Eletrônicos,228.09
195,4908,2023-02-24,176.78,131,Cliente 4908,cliente4908@exemplo.com,Espanha,131,Produto 131,Beleza,579.8
196,2238,2023-08-17,2801.23,838,Cliente 2238,cliente2238@exemplo.com,Chile,838,Produto 838,Alimentos,63.48
197,3970,2023-03-14,512.81,379,Cliente 3970,cliente3970@exemplo.com,Portugal,379,Produto 379,Brinquedos,743.97
198,926,2023-08-04,815.44,239,Cliente 926,cliente926@exemplo.com,Chile,239,Produto 239,Roupas,380.36
199,3745,2024-08-16,2761.8,307,Cliente 3745,cliente3745@exemplo.com,Canadá,307,Produto 307,Brinquedos,421.27
200,3441,2024-11-07,4892.57,390,Cliente 3441,cliente3441@exemplo.com,Espanha,390,Produto 390,Alimentos,791.54
201,2588,2024-09-01,2396.09,159,Cliente 2588,cliente2588@exemplo.com,Canadá,159,Produto 159,Beleza,135.88
202,1960,2023-02-15,3446.05,560,Cliente 1960,cliente1960@exemplo.com,Colômbia,560,Produto 560,Eletrônicos,590.66
203,717,2023-07-26,4122.3,770,Cliente 717,cliente717@exemplo.com,Chile,770,Produto 770,Livros,59.75
204,4591,2023-01-16,3974.74,303,Cliente 4591,cliente4591@exemplo.com,Brasil,303,Produto 303,Brinquedos,465.5
205,4757,2023-10-06,489.98,653,Cliente 4757,cliente4757@exemplo.com,Brasil,653,Produto 653,Beleza,97.04
206,258,2024-03-18,4358.91,652,Cliente 258,cliente258@exemplo.com,EUA,652,Produto 652,Alimentos,515.11
207,2524,2024-01-26,4437.07,934,Cliente 2524,cliente2524@exemplo.com,México,934,Produto 934,Beleza,424.25
208,4172,2024-08-14,3348.54,440,Cliente 4172,cliente4172@exemplo.com,Brasil,440,Produto 440,Artigos para Casa,561.03
209,3409,2024-09-11,4574.58,922,Cliente 3409,cliente3409@exemplo.com,Peru,922,Produto 922,Beleza,315.37
210,795,2023-11-25,3886.52,415,Cliente 795,cliente795@exemplo.com,Peru,415,Produto 415,Alimentos,238.55
211,4358,2024-04-25,1870.34,766,Cliente 4358,cliente4358@exemplo.com,Espanha,766,Produto 766,Brinquedos,476.63
212,339,2024-12-20,2057.09,710,Cliente 339,cliente339@exemplo.com,Portugal,710,Produto 710,Eletrônicos,618.15
213,3940,2023-10-20,1322.32,7,Cliente 3940,cliente3940@exemplo.com,EUA,7,Produto 7,Roupas,599.83
214,1764,2024-08-27,2470.84,280,Cliente 1764,cliente1764@exemplo.com,México,280,Produto 280,Livros,806.41
215,2965,2024-08-12,3193.61,383,Cliente 2965,cliente2965@exemplo.com,Brasil,383,Produto 383,Alimentos,126.24
216,2256,2024-04-01,1581.31,820,Cliente 2256,cliente2256@exemplo.com,México,820,Produto 820,Roupas,962.24
217,1937,2023-01-19,2143.35,890,Cliente 1937,cliente1937@exemplo.com,EUA,890,Produto 890,Artigos para Casa,716.85
218,2332,2023-04-11,1920.53,479,Cliente 2332,cliente2332@exemplo.com,Peru,479,Produto 479,Beleza,129.84
219,2339,2023-05-17,3621.43,252,Cliente 2339,cliente2339@exemplo.com,México,252,Produto 252,Beleza,430.21
220,3294,2024-10-19,1103.61,304,Cliente 3294,cliente3294@exemplo.com,Chile,304,Produto 304,Esportes,284.83
221,709,2024-02-21,4407.39,422,Cliente 709,cliente709@exemplo.com,México,422,Produto 422,Roupas,173.78
222,3950,2024-10-01,3932.57,463,Cliente 3950,cliente3950@exemplo.com,EUA,463,Produto 463,Eletrônicos,909.86
223,4819,2024-04-02,3015.98,106,Cliente 4819,cliente4819@exemplo.com,Colômbia,106,Produto 106,Artigos para Casa,28.38
224,1139,2023-01-05,2556.11,136,Cliente 1139,cliente1139@exemplo.com,EUA,136,Produto 136,Artigos para Casa,137.68
225,3992,2023-09-06,3238.43,153,Cliente 3992,cliente3992@exemplo.com,Argentina,153,Produto 153,Alimentos,878.46
